2018-06-14 23:58:39, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-14 23:58:39, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1528963257459786&merId=7000000374&merchantNum=200370951110001&orderId=2018061423321516446&productCode=0203&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180614235839&txnType=02&version=1.0 
2018-06-14 23:58:39, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >93d653a80874735ac71ae9190decde4e0a4af8f7 
2018-06-14 23:58:39, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[28]------ 签名串为 >NBmyke+mVDHQZX34XHHcRfz4JmhYvCa4zyB31GFQAaSQ1qCInHfhniMPIi7LK8TIyW1C/DnxqSeW7hiqG/9U4LQzwBkxKkB+7FrM/Dn8rQTbHJO2YJ9SCf1Q/zvfPsWhkwSL239b9K4xKFS/NIV7CDCUtn06JRnze+BwzpgzqHOXAxOWS/fp+JvqKGYbkz9qtTRG0cwH3OZ+owghcCcZ4EsU+lHMhfKztgzz5pBoNuBTAXRm23wAnF0zaUSiRPTf8BCgthZYzcIKs6IwCkZmMI5/WM3glDQU7ILsY34Ia0z618cMIJa+g4RmLD8zDeoRqPWjNt5O/etIWoCqh/XJzQ== 
2018-06-14 23:58:39, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1493192193960028&merId=7000000374&merchantNum=200370951110001&orderId=2018061423321516446&productCode=0203&respCode=44&respMsg=订单异常[203007]&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180614235839&txnType=02&version=1.0 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[56]------ 摘要shax16>5bf758e6db0373f556930d52cc7562c87a08f9df 
2018-06-14 23:58:40, INFO, 58.64.185.36, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[58]------ 验签成功 
